state,sat_participation,ebrw,math,total,act_participation,composite
Alabama,0.05,593,572,1165,1.0,19.2
Alaska,0.38,547,533,1080,0.65,19.8
Arizona,0.3,563,553,1116,0.62,19.7
Arkansas,0.03,614,594,1208,1.0,19.4
California,0.53,531,524,1055,0.31,22.8
Colorado,0.11,606,595,1201,1.0,20.8
Connecticut,1.0,530,512,1041,0.31,25.2
Delaware,1.0,503,492,996,0.18,24.1
District of Columbia,1.0,482,468,950,0.32,24.2
Florida,0.83,520,497,1017,0.73,19.8
Georgia,0.61,535,515,1050,0.55,21.4
Hawaii,0.55,544,541,1085,0.9,19.0
Idaho,0.93,513,493,1005,0.38,22.3
Illinois,0.09,559,556,1115,0.93,21.4
Indiana,0.63,542,532,1074,0.35,22.6
Iowa,0.02,641,635,1275,0.67,21.9
Kansas,0.04,632,628,1260,0.73,21.7
Kentucky,0.04,631,616,1247,1.0,20.0
Louisiana,0.04,611,586,1198,1.0,19.5
Maine,0.95,513,499,1012,0.08,24.3
Maryland,0.69,536,524,1060,0.28,23.6
Massachusetts,0.76,555,551,1107,0.29,25.4
Michigan,1.0,509,495,1005,0.29,24.1
Minnesota,0.03,644,651,1295,1.0,21.5
Mississippi,0.02,634,607,1242,1.0,18.6
Missouri,0.03,640,631,1271,1.0,20.4
Montana,0.1,605,591,1196,1.0,20.3
Nebraska,0.03,629,625,1253,0.84,21.4
Nevada,0.26,563,553,1116,1.0,17.8
New Hampshire,0.96,532,520,1052,0.18,25.5
New Jersey,0.7,530,526,1056,0.34,23.9
New Mexico,0.11,577,561,1138,0.66,19.7
New York,0.67,528,523,1052,0.31,24.2
North Carolina,0.49,546,535,1081,1.0,19.1
North Dakota,0.02,635,621,1256,0.98,20.3
Ohio,0.12,578,570,1149,0.75,22.0
Oklahoma,0.07,530,517,1047,1.0,19.4
Oregon,0.43,560,548,1108,0.4,21.8
Pennsylvania,0.65,540,531,1071,0.23,23.7
Rhode Island,0.71,539,524,1062,0.21,24.0
South Carolina,0.5,543,521,1064,1.0,18.7
South Dakota,0.03,612,603,1216,0.8,21.8
Tennessee,0.05,623,604,1228,1.0,19.8
Texas,0.62,513,507,1020,0.45,20.7
Utah,0.03,624,614,1238,1.0,20.3
Vermont,0.6,562,551,1114,0.29,23.6
Virginia,0.65,561,541,1102,0.29,23.8
Washington,0.64,541,534,1075,0.29,21.9
West Virginia,0.14,558,528,1086,0.69,20.4
Wisconsin,0.03,642,649,1291,1.0,20.5
Wyoming,0.03,626,604,1230,1.0,20.2
